year,annual_edition,category,artist,song_or_album,winner,url
2024,67,Best Pop Vocal Album,,THE TORTURED POETS DEPARTMENT,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Vocal Album,Sabrina Carpenter,Short n' Sweet,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Duo/Group Performance,,us.,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Duo/Group Performance,,LEVII'S JEANS,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Duo/Group Performance,,Guess,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Duo/Group Performance,,the boy is mine,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Duo/Group Performance,Lady Gaga & Bruno Mars,Die With A Smile,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Solo Performance,,BODYGUARD,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Solo Performance,,Apple,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Solo Performance,,BIRDS OF A FEATHER,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Solo Performance,,"Good Luck, Babe!",False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Pop Solo Performance,Sabrina Carpenter,Espresso,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Remixed Recording,"A.G. Cook, remixer (Charli xcx & A.G. Cook Featuring Addison Rae)",Von dutch,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Remixed Recording,"""Espresso (Mark Ronson x FNZ \r\nWorking Late Remix)""",Espresso (Mark Ronson x FNZ  r nWorking Late Remix),True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Album,,Three,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Album,,Hyperdrama,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Album,,TIMELESS,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Album,,Telos,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Album,Charli xcx,BRAT,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance Pop Recording,"Madison Beer & Leroy Clampitt, producers; Mitch McCarthy, mixer",Make You Mine,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance Pop Recording,"Billie Eilish & FINNEAS, producers; Jon Castelli & Aron Forbes, mixers",L’AMOUR DE MA VIE [OVER NOW EXTENDED EDIT],False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance Pop Recording,"Ariana Grande, ILYA & Max Martin, producers; Serban Ghenea, mixer","yes, and?",False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance Pop Recording,"Styalz Fuego & Ian Kirkpatrick, producers; Alex Ghenea, mixer",Got Me Started,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance Pop Recording,Charli xcx,Von dutch,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Recording,"Guy Lawrence & Howard Lawrence, producers; Guy Lawrence, mixer","She's Gone, Dance On",False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Recording,"Kieran Hebden, producer; Kieran Hebden, mixer",Loved,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Recording,"Boo, Fred Again.., Alex Gibson, Kieran Hebden, LOOSE, Skrillex & Sid Stone, producers; Fred Again.. & Jay Reynolds, mixers",leavemealone,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Dance/Electronic Recording,"Lauren D'Elia & KAYTRANADA, producers; Neal H Pogue, mixer",Witchy,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Song,"Jon Beavis, Mark Bowen, Adam Devonshire, Lee Kiernan & Joe Talbot, songwriters (IDLES)",Gift Horse,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Song,"""Broken Man""",Broken Man,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Metal Performance,,Crown of Horns,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Metal Performance,,Suffocate,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Metal Performance,,Screaming Suicide,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Metal Performance,,Cellar Door,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Metal Performance,"Gojira, Marina Viotti & Victor Le Masne",Mea Culpa (Ah! Ça ira!),True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,,Beautiful People (Stay High),False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,,The American Dream Is Killing Me,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,,Gift Horse,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,,Dark Matter,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,,Broken Man,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Performance,The Beatles,Now And Then,True,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Remixed Recording,"KAYTRANADA, remixer (Doechii Featuring JT)",Alter Ego - KAYTRANADA Remix,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Remixed Recording,"David Guetta, remixer (Shaboozey & David Guetta)",A Bar Song (Tipsy) [Remix],False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Remixed Recording,"Alexx Antaeus, Footsteps & MrMyish, remixers (Julian Marley & Antaeus)",Jah Sees Them - Amapiano Remix,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,,Happiness Bastards,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,,Romance,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,,Saviors,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
2024,67,Best Rock Album,,TANGK,False,https://www.grammy.com/awards/67th-annual-grammy-awards-2024
